--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.002  000.002: --- NVIM STARTING ---
004.909  004.908: event init
008.864  003.954: early init
008.918  000.055: locale set
010.896  001.978: init first window
018.699  007.802: inits 1
018.715  000.016: window checked
018.718  000.003: parsing arguments
021.126  000.027  000.027: require('vim.shared')
021.197  000.029  000.029: require('vim.inspect')
021.230  000.026  000.026: require('vim._options')
021.233  000.104  000.049: require('vim._editor')
021.235  000.149  000.018: require('vim._init_packages')
021.236  002.369: init lua interpreter
021.273  000.037: expanding arguments
021.305  000.032: inits 2
022.115  000.810: init highlight
022.131  000.016: clear screen
022.234  000.013  000.013: require('vim.keymap')
024.560  000.438  000.438: sourcing nvim_exec2()
024.662  002.529  002.078: require('vim._defaults')
024.664  000.004: init default mappings & autocommands
025.911  000.372  000.372: sourcing /tmp/.mount_nvimGBNGbH/usr/share/nvim/runtime/ftplugin.vim
026.199  000.157  000.157: sourcing /tmp/.mount_nvimGBNGbH/usr/share/nvim/runtime/indent.vim
026.585  000.149  000.149: require('vim.fs')
027.358  000.770  000.770: require('vim.uri')
027.377  000.969  000.051: require('vim.loader')
028.815  001.191  001.191: require('lazy')
028.864  000.012  000.012: require('ffi')
028.925  000.056  000.056: require('lazy.stats')
029.104  000.163  000.163: require('lazy.core.util')
029.231  000.124  000.124: require('lazy.core.config')
029.532  000.160  000.160: require('lazy.core.handler')
029.862  000.086  000.086: require('lazy.pkg')
029.870  000.203  000.117: require('lazy.core.meta')
029.876  000.341  000.138: require('lazy.core.plugin')
029.882  000.648  000.146: require('lazy.core.loader')
030.796  000.273  000.273: require('lazy.async')
031.247  000.120  000.120: require('lazy.manage.process')
031.319  000.052  000.052: require('lazy.terminal')
031.324  000.523  000.351: require('lazy.manage.task')
031.327  000.940  000.144: require('lazy.manage.runner')
031.330  001.049  000.109: require('lazy.manage')
031.332  001.181  000.132: require('lazy.view.commands')
031.402  000.047  000.047: require('lazy.core.fragments')
032.962  000.107  000.107: require('lazy.core.handler.event')
032.967  000.211  000.104: require('lazy.core.handler.ft')
033.037  000.067  000.067: require('lazy.core.handler.cmd')
033.123  000.082  000.082: require('lazy.core.handler.keys')
034.740  000.389  000.389: sourcing nvim_exec2() called at /tmp/.mount_nvimGBNGbH/usr/share/nvim/runtime/filetype.lua:0
034.745  000.748  000.359: sourcing /tmp/.mount_nvimGBNGbH/usr/share/nvim/runtime/filetype.lua
034.751  000.895  000.147: sourcing nvim_exec2() called at /home/ariel/.config/nvim/init.lua:0
034.840  000.003  000.003: sourcing nvim_exec2() called at /home/ariel/.config/nvim/init.lua:0
034.855  000.002  000.002: sourcing nvim_exec2() called at /home/ariel/.config/nvim/init.lua:0
035.401  000.048  000.048: require('supermaven-nvim.config')
035.406  000.105  000.057: require('supermaven-nvim.logger')
035.410  000.162  000.057: require('supermaven-nvim.util')
035.414  000.227  000.065: require('supermaven-nvim.completion_preview')
